name,Plate-MJD-FiberID,zpg,zbg,I814,ext,LV,re,LeLdev,BA,PA,sigma,sigmaerr,class,bSIE,qSIE,paSIE,LSIEdev,bLTM,gamma,PAgamma,LLTMdev,Nstruc,Ring,Goodsigma
000802.96-000408.2,0669-52559-156,0.44,1.1924,18.65,0.12,86.7,1.71,0.313,0.83,27.3,0,0,E-S-A,1.16,0.7,35.2,0.393,1.14,0.09,37.6,0.387,3,No,No
002907.77-005550.5,0391-51782-088,0.227,0.9313,17.09,0.04,76.3,2.16,0.31,0.84,26.6,229,18,E-S-A,0.96,0.89,25.4,0.284,0.95,0.01,33.1,0.282,2,Yes,Yes
003753.21-094220.1,0655-52162-392,0.1955,0.6322,16.26,0.06,120.5,2.19,0.326,0.73,11.4,279,14,E-S-A,1.53,0.84,15.9,0.404,1.52,0.01,67.1,0.401,2,No,Yes
004402.90+011312.6,0393-51794-456,0.1196,0.1965,15.73,0.04,68.8,2.61,0.321,0.76,151.3,266,13,E-S-A,0.79,0.66,7.4,0.218,0.76,0.12,19.4,0.211,2,No,Yes
010933.73+150032.5,0422-51811-508,0.2939,0.5248,17.75,0.11,77.2,1.38,0.32,0.78,104.0,251,19,E-S-A,0.69,0.55,99.8,0.321,0.68,0.07,83.8,0.317,1,No,Yes
015758.94-005626.1,0700-52199-020,0.5132,0.9243,18.64,0.05,117.3,1.06,0.31,0.69,69.2,0,0,E-S-A,0.79,0.72,102.6,0.401,0.67,0.24,103.1,0.362,3,No,No
021652.54-081345.3,0668-52162-428,0.3317,0.5235,16.93,0.07,206.4,2.67,0.312,0.79,81.2,333,23,E-S-A,1.16,0.79,73.3,0.283,1.15,0.03,78.6,0.282,3,No,Yes
025245.21+003958.4,0807-52295-614,0.2803,0.9818,18.04,0.15,55.8,1.39,0.317,0.94,97.2,164,12,E-S-A,1.04,0.93,106.2,0.441,1.03,0.01,99.2,0.439,3,Yes,Yes
033012.14-002051.9,0810-52672-252,0.3507,1.0709,18.16,0.16,82.3,1.2,0.306,0.77,109.6,212,21,E-S-A,1.1,0.81,113.2,0.459,1.04,0.07,113.9,0.443,3,No,Yes
040535.41-045552.4,0465-51910-406,0.0753,0.8098,16.45,0.21,15.8,1.36,0.32,0.69,20.3,160,8,E-S-A,0.8,0.72,21.0,0.355,0.79,0.05,23.5,0.354,1,Yes,Yes
072804.95+383525.7,1733-53047-154,0.2058,0.6877,16.74,0.12,91.2,1.78,0.316,0.74,67.0,214,11,E-S-A,1.25,0.85,67.6,0.392,1.25,0.01,170.6,0.393,4,Yes,Yes
073728.45+321618.6,0541-51959-145,0.3223,0.5812,17.04,0.08,177.8,2.82,0.312,0.85,104.1,338,17,E-S-A,1.0,0.67,98.8,0.239,0.97,0.1,97.8,0.233,2,Yes,Yes
082242.32+265243.5,1267-52932-253,0.2414,0.5941,16.99,0.05,95.4,1.82,0.312,0.74,87.0,259,15,E-S-A,1.17,0.88,68.2,0.37,1.14,0.01,10.5,0.365,2,Yes,Yes
084128.81+382413.7,0828-52317-012,0.1159,0.6567,15.34,0.06,94.6,4.21,0.318,0.58,92.9,225,11,L-S-A,1.41,0.79,91.4,0.242,1.36,0.05,10.2,0.236,2,No,Yes
090315.19+411609.1,1200-52668-398,0.4304,1.0645,17.95,0.03,144.7,1.78,0.308,0.89,1.6,0,0,E-S-A,1.29,0.9,161.3,0.396,1.27,0.02,142.4,0.393,2,Yes,No
091205.31+002901.2,0472-51955-429,0.1642,0.3239,15.57,0.05,156.4,3.87,0.33,0.67,11.7,326,16,E-S-A,1.63,0.56,8.2,0.288,1.62,0.1,5.1,0.286,1,Yes,Yes
093543.93-000334.8,0476-52314-177,0.3475,0.467,16.75,0.06,268.5,4.24,0.311,0.9,145.2,396,35,E-S-A,0.87,0.69,22.2,0.16,0.81,0.13,27.0,0.152,1,No,Yes
093600.77+091335.8,1303-53050-078,0.1897,0.588,16.52,0.07,90.5,2.11,0.308,0.81,145.3,243,12,E-S-A,1.09,0.89,160.1,0.315,1.09,0.02,16.7,0.315,2,Yes,Yes
094656.68+100652.8,1305-52757-503,0.2219,0.6085,17.09,0.05,73.2,2.35,0.316,0.96,10.3,263,21,E-S-A,1.38,0.81,159.2,0.355,1.39,0.08,157.9,0.357,2,Yes,Yes
095519.72+010144.4,0268-51633-336,0.1109,0.3159,16.97,0.05,18.9,1.09,0.304,0.39,108.6,192,13,L-S-A,0.91,0.82,62.5,0.458,1.03,0.27,27.6,0.499,2,No,Yes
095629.78+510006.6,0902-52409-068,0.2405,0.4699,16.68,0.02,122.7,2.19,0.311,0.73,147.7,334,17,E-S-A,1.33,0.63,146.2,0.356,1.3,0.11,144.2,0.351,1,Yes,Yes
095900.96+441639.4,0942-52703-499,0.2369,0.5315,16.9,0.02,97.6,1.98,0.317,0.87,55.9,244,19,E-S-A,0.96,0.92,57.4,0.31,0.96,0.0,35.0,0.31,2,No,Yes
095944.07+041017.0,0572-52289-495,0.126,0.535,16.92,0.05,25.9,1.39,0.298,0.6,58.4,197,13,E-S-A,0.99,0.86,66.9,0.397,1.01,0.07,142.1,0.402,2,No,Yes
101622.86+385903.3,1427-52996-461,0.1679,0.4394,16.71,0.03,56.7,1.46,0.32,0.85,63.3,247,13,E-S-A,1.09,0.78,46.4,0.414,1.06,0.08,38.9,0.406,2,No,Yes
102026.54+112241.1,1598-53033-353,0.2822,0.553,17.21,0.06,110.5,1.59,0.319,0.79,106.6,282,18,E-S-A,1.2,0.8,135.8,0.413,1.21,0.1,152.6,0.416,2,No,Yes
102332.26+423001.8,1359-53002-418,0.1912,0.696,16.77,0.03,70.1,1.77,0.314,0.85,167.5,242,15,E-S-A,1.41,0.87,170.4,0.435,1.4,0.03,168.8,0.433,3,Yes,Yes
102922.94+042001.8,0576-52325-433,0.1045,0.6154,16.13,0.06,36.7,1.56,0.315,0.52,127.9,210,11,E-S-A,1.01,0.84,93.9,0.378,1.1,0.17,48.0,0.401,1,No,Yes
103235.84+532234.9,0905-52643-100,0.1334,0.329,17.05,0.03,25.5,0.81,0.306,0.44,136.5,296,15,L-S-A,1.03,0.76,139.7,0.582,1.12,0.08,46.2,0.606,3,No,Yes
110024.39+532913.9,1011-52652-175,0.3171,0.8581,17.18,0.02,143.6,2.24,0.314,0.58,103.0,0,0,E-S-A,1.52,0.53,105.3,0.384,1.43,0.19,113.4,0.369,2,No,No
110308.21+532228.2,1011-52652-156,0.1582,0.7353,16.43,0.02,63.7,1.95,0.33,0.46,45.5,196,12,U-S-A,1.02,0.52,51.7,0.342,1.04,0.05,71.9,0.348,1,Yes,Yes
110646.15+522837.8,1011-52652-007,0.0955,0.4069,15.52,0.02,51.4,1.68,0.324,0.63,57.3,262,13,E-S-A,1.23,0.76,56.3,0.407,1.23,0.02,52.3,0.406,1,Yes,Yes
111250.60+082610.4,1221-52751-028,0.273,0.6295,17.22,0.06,101.9,1.5,0.328,0.77,137.5,320,20,E-S-A,1.49,0.75,146.5,0.503,1.37,0.03,166.7,0.482,2,No,Yes
113405.89+602713.5,0952-52409-524,0.1528,0.4742,16.44,0.02,59.1,2.02,0.325,0.83,155.0,239,12,E-S-A,1.1,0.77,102.1,0.343,0.88,0.23,90.2,0.298,1,No,Yes
114257.35+100111.8,1226-52734-306,0.2218,0.5039,17.1,0.1,75.8,1.91,0.314,0.89,95.4,221,22,E-S-A,0.98,0.83,99.5,0.32,0.92,0.06,89.8,0.307,1,No,Yes
114329.64-014430.0,0328-52282-535,0.106,0.4019,14.96,0.03,108.5,4.8,0.337,0.8,118.7,269,13,E-S-A,1.68,0.75,120.1,0.267,1.66,0.04,119.4,0.265,3,No,Yes
115310.79+461205.3,1446-53080-211,0.1797,0.8751,17.2,0.04,41.9,1.16,0.323,0.9,2.9,226,15,E-S-A,1.05,0.77,21.6,0.46,1.05,0.09,31.1,0.462,1,Yes,Yes
120444.07+035806.4,0842-52376-208,0.1644,0.6307,16.84,0.04,48.1,1.47,0.316,0.97,132.1,267,17,E-S-A,1.31,0.84,65.4,0.455,1.27,0.08,64.6,0.446,2,Yes,Yes
120540.44+491029.4,0969-52442-134,0.215,0.4808,16.56,0.04,110.4,2.59,0.314,0.72,158.3,281,14,E-S-A,1.22,0.7,156.6,0.302,1.2,0.06,158.3,0.299,1,Yes,Yes
121340.58+670829.0,0493-51957-145,0.1229,0.6402,15.6,0.03,81.1,3.23,0.326,0.77,20.0,292,15,E-S-A,1.42,0.83,14.5,0.297,1.38,0.02,164.6,0.292,1,No,Yes
121826.70+083050.3,1625-53140-415,0.135,0.7172,15.74,0.03,87.2,3.18,0.321,0.72,50.5,219,11,E-S-A,1.45,0.75,51.5,0.3,1.44,0.03,54.9,0.299,1,No,Yes
125028.26+052349.1,0847-52426-549,0.2318,0.7953,16.7,0.05,115.4,1.81,0.31,0.97,114.8,252,14,E-S-A,1.13,0.96,130.8,0.366,1.11,0.01,140.5,0.362,5,Yes,Yes
125135.71-020805.2,0337-51997-480,0.2243,0.7843,17.25,0.04,63.8,2.61,0.299,0.51,39.5,0,0,L-S-A,0.84,0.67,33.9,0.218,0.85,0.07,156.5,0.221,2,No,No
140228.21+632133.5,0605-52353-503,0.2046,0.4814,16.33,0.03,122.1,2.7,0.316,0.77,70.8,267,17,E-S-A,1.35,0.83,64.4,0.316,1.36,0.02,34.4,0.317,2,Yes,Yes
140329.49+000641.4,0302-51688-354,0.1888,0.473,17.11,0.08,52.8,1.46,0.317,0.81,110.5,213,17,E-S-A,0.83,0.81,140.8,0.354,0.83,0.05,169.4,0.354,4,Yes,Yes
141622.34+513630.4,1045-52725-464,0.2987,0.8111,17.57,0.02,87.5,1.43,0.326,0.76,23.4,240,25,E-S-A,1.37,0.94,71.4,0.483,1.36,0.04,96.7,0.482,3,No,Yes
142015.85+601914.8,0788-52338-605,0.0629,0.5351,15.08,0.03,32.8,2.06,0.326,0.57,111.5,205,10,E-S-A,1.04,0.67,111.3,0.329,1.07,0.01,108.7,0.335,2,Yes,Yes
143004.10+410557.1,1349-52797-406,0.285,0.5753,16.87,0.02,149.4,2.55,0.309,0.79,120.7,322,32,E-S-A,1.52,0.68,111.7,0.355,1.46,0.1,110.3,0.344,6,Yes,Yes
143213.34+631703.8,0499-51988-005,0.123,0.6643,15.16,0.03,122.5,5.85,0.307,0.96,107.2,199,10,L-S-A,1.26,0.96,130.4,0.153,1.25,0.01,152.0,0.151,2,No,Yes
143627.54-000029.2,0306-51637-035,0.2852,0.8049,17.24,0.07,112.2,2.24,0.315,0.75,151.3,224,17,E-S-A,1.12,0.72,156.2,0.315,1.08,0.07,162.6,0.308,1,No,Yes
144319.62+030408.2,0587-52026-205,0.1338,0.4187,17.06,0.06,26.1,0.94,0.32,0.62,61.1,209,11,E-S-A,0.81,0.73,78.1,0.438,0.78,0.08,97.9,0.427,1,No,Yes
145128.19-023936.4,0921-52380-293,0.1254,0.5203,16.09,0.16,61.0,2.48,0.315,0.98,40.6,223,14,E-S-A,1.04,0.97,106.3,0.277,1.03,0.02,113.8,0.274,1,No,Yes
152506.70+332747.4,1387-53118-532,0.3583,0.7173,17.11,0.04,204.0,2.9,0.316,0.61,135.4,264,26,E-S-A,1.31,0.51,134.3,0.292,1.3,0.11,132.5,0.291,1,No,Yes
153150.07-010545.7,0314-51641-124,0.1596,0.7439,16.08,0.26,112.6,2.5,0.32,0.68,143.5,279,14,E-S-A,1.71,0.77,142.9,0.393,1.71,0.03,139.4,0.393,2,Yes,Yes
153812.92+581709.8,0615-52347-594,0.1428,0.5312,16.66,0.03,42.0,1.58,0.311,0.82,153.5,189,12,E-S-A,1.0,0.89,152.1,0.365,0.99,0.01,146.6,0.363,2,Yes,Yes
162132.99+393144.6,1172-52759-318,0.2449,0.6021,16.81,0.01,113.2,2.14,0.312,0.73,142.9,236,20,E-S-A,1.29,0.77,148.7,0.358,1.29,0.03,161.9,0.358,1,No,Yes
162746.45-005357.6,0364-52000-084,0.2076,0.5241,16.91,0.18,85.1,1.98,0.312,0.85,6.9,290,15,E-S-A,1.23,0.91,10.5,0.36,1.22,0.0,60.6,0.359,1,Yes,Yes
163028.16+452036.3,0626-52057-518,0.2479,0.7933,16.79,0.01,118.4,1.96,0.318,0.84,71.7,276,16,E-S-A,1.78,0.87,74.9,0.475,1.78,0.02,84.1,0.475,4,Yes,Yes
163602.62+470729.6,0627-52144-464,0.2282,0.6745,17.03,0.04,81.5,1.68,0.321,0.78,102.2,231,15,E-S-A,1.09,0.79,98.2,0.38,1.08,0.04,91.9,0.38,2,Yes,Yes
223840.20-075456.0,0722-52224-442,0.1371,0.7126,16.2,0.07,61.2,2.33,0.315,0.74,138.3,198,11,E-S-A,1.27,0.85,137.4,0.335,1.28,0.0,72.2,0.335,2,Yes,Yes
230053.15+002238.0,0677-52606-520,0.2285,0.4635,17.07,0.1,83.1,1.83,0.321,0.8,85.7,279,17,E-S-A,1.24,0.71,87.8,0.391,1.21,0.08,90.0,0.386,1,Yes,Yes
230321.72+142217.9,0743-52262-304,0.1553,0.517,16.1,0.35,112.9,3.28,0.321,0.64,36.7,255,16,E-S-A,1.62,0.61,35.3,0.318,1.6,0.07,33.8,0.316,2,Yes,Yes
232120.93-093910.3,0645-52203-517,0.0819,0.5324,14.66,0.05,84.6,4.11,0.313,0.78,127.9,249,12,E-S-A,1.6,0.86,135.2,0.258,1.6,0.01,172.6,0.258,2,Yes,Yes
234111.57+000018.7,0682-52525-594,0.186,0.807,16.36,0.05,98.7,3.15,0.318,0.59,78.8,207,13,E-S-A,1.44,0.76,96.6,0.295,1.47,0.07,143.3,0.299,4,Yes,Yes
