Name,Vhelio,VLG,VCMB,VVirgo,VGA,VShapley,VTonry
NGC 0300,144,125,-57,114,92,133,-140
NGC 0925,553,781,398,778,561,664,374
NGC 1326A,1836,1749,1787,1698,1742,1794,1164
NGC 1365,1636,1544,1597,1503,1544,1594,1157
NGC 1425,1512,1440,1477,1403,1417,1473,1465
NGC 2403,131,300,216,343,222,278,193
NGC 2541,559,646,736,744,674,714,936
NGC 2090,931,757,1057,805,869,882,926
NGC 3031,-34,127,65,139,43,80,246
NGC 3198,662,704,890,768,765,772,848
NGC 3351,778,641,1117,594,696,642,1175
NGC 3368,897,761,1236,715,823,768,1238
NGC 3621,805,615,1152,557,687,609,1020
NGC 4321,1571,1469,1856,1350,1501,1433,1436
NGC 4414,716,693,959,586,661,619,1215
NGC 4496A,1730,1575,2024,1350,1518,1424,1467
NGC 4548,486,381,763,1350,1460,1384,1421
NGC 4535,1961,1826,2248,1350,1530,1444,1410
NGC 4536,1804,1642,2097,1350,1521,1423,1463
NGC 4639,1010,902,1283,1350,1481,1403,1448
NGC 4725,1206,1161,1446,1040,1156,1103,1225
IC  4182,321,344,513,312,355,318,636
NGC 5253,404,156,612,160,349,232,800
NGC 7331,816,1110,508,1099,912,999,820